,Name,Description,Image,Price,Rating
0,Samsung A01 2/16 Garansi Resmi Sein,"NETWORK Technology
GSM / HSPA / LTE
LAUNCH Announced 2019, December
Status Available. Released 2020, January
BODY Dimensions 146.2 x 70.9 x 8.3 mm (5.76 x 2.79 x 0.33 in)
Weight 149 g (5.26 oz)
Build Glass front, plastic back, plastic frame
SIM Dual SIM (Nano-SIM, dual stand-by)
DISPLAY Type PLS TFT capacitive touchscreen, 16M colors
Size 5.7 inches, 77.9 cm2 (~75.1% screen-to-body ratio)
Resolution 720 x 1520 pixels, 19:9 ratio (~301 ppi density)
PLATFORM OS Android 10.0; One UI 2
Chipset Qualcomm SDM439 Snapdragon 439 (12 nm)
CPU Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53)
GPU Adreno 505
MEMORY Card slot microSDXC (dedicated slot)
Internal 16GB 2GB RAM
eMMC 5.1
MAIN CAMERA Dual 13 MP, f/2.2, 28mm (wide), 1/3.1"", 1.12µm, AF
2 MP, f/2.4, (depth)
Features LED flash
Video 1080p@30fps
SELFIE CAMERA Single 5 MP, f/2.2, 1/5"", 1.12µm
Video
SOUND Loudspeaker Yes
3.5mm jack Yes
COMMS WLAN Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot
Bluetooth 4.2, A2DP, LE
GPS Yes, with A-GPS, GLONASS, GALILEO, BDS
Radio FM radio
USB microUSB 2.0
FEATURES Sensors Accelerometer, proximity
BATTERY Non-removable Li-Ion 3000 mAh battery",https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2020/7/30/7b559809-9691-40ee-8319-04d8cc5ec6bd.jpg.webp,Rp1.160.000,4.9
1,VIVO Y12i RAM 3GB ROM 32GB GARANSI RESMI - Merah,"NOTE :
-Pengiriman Pulau Jawa dan sekitarnya DISARANKAN pakai JNT dan SiCepat
- Pengiriman luar Pulau Jawa HANYA bisa pakai JNE dan SiCepat

FREE include : SOFTCASE + ANTIGORES

- 5000mAh Battery
Daya yang Tahan Lama
Kapasitas besar 5000mAh dipadukan dengan teknologi manajamen daya cerdas milik vivo membuat daya tahan baterai lebih lama. Anda dapat menggunakan Y12i sepuasnya tanpa khawatir kehabisan baterai.

- 3GB + 32GB
Pengalaman yang Lancar
Y12i dilengkapi oleh prosesor Snapdragon 439 octa-core dengan desain 12nm dan kecepatan hingga 1.95GHz serta didukung RAM 3GB dan ROM 32GB.

- AI Dual Camera
Y12i didukung dengan dual camera yang terdiri dari 13MP Main Camera dan 2MP Super Bokeh Camera. Anda dapat menangkap pemandangan menakjubkan maupun potret indah dengan mudah.

- AI Face Beauty
Selfie Natural
Kamera depan 8MP dipadukan teknologi AI Face Beauty vivo dirancang khusus untuk menghasilkan foto wajah lebih detail melalui solusi yang disesuaikan. Selfie menjadi lebih jernih dan menakjubkan.


Prosesor Snapdragon 439
RAM 3GB
ROM 32GB
Baterai 5000mAh (TYP)
Sistem Operas iFuntouch OS 9.1 (berdasarkan Android 9)

Tampilan
Layar6.35 inci
Resolusi 720 × 1544 (HD+)
Tipe LCD
Layar Sentuh Layar Sentuh Kapasitif

Kamera
Kamera Depan 8MP / Belakang 13MP+2MP
Aperture Depan f/1.8 (8MP), Belakang f/2.2 (13MP) +f/2.4 (2MP)
Flash Lampu Kilat Belakang
Mode/ Fitur Professional, PDAF, Palm Capture, Voice Control, Time-Lapse, Slow Motion, Live Photos, HDR, Panorama, Portrait Bokeh (kamera belakang), Watermark, AI Face Beauty, Camera Filters",https://ecs7.tokopedia.net/img/cache/700/product-1/2020/7/15/71206289/71206289_f9ad5310-2709-406c-a437-efc7bde02838_1000_1000.webp,Rp1.689.000,5
2,"iPhone 128GB 256GB 512GB 12 Pro Graphite Blue Gold Silver 128 256 512 - 128 GB, Graphite",No description,https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2020/10/14/a224d8d6-a281-4114-a58f-a46206fc2878.jpg.webp,Rp24.999.000,5
3,ADVAN HAMMER R2 CANDY BAR PHONE 100% ORIGINAL GARANSI RESMI - Hitam,No description,https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2020/8/13/4892eea4-69e1-4b1f-a183-3d1c4f54d217.jpg.webp,Rp109.000,4.9
4,SAMSUNG ML-D2850B Black original,"Halaman Yield5000
Merek SAMSUNG
Spesifikasi Kompatibilitas Printer: ML-2850D, ML-2850ND, ML-2851ND
WarnaHitam",https://ecs7.tokopedia.net/img/cache/700/product-1/2019/9/20/6757191/6757191_fdf473c7-7814-4511-808e-3dea34f0b092_915_915.jpg.webp,Rp1.500.000,No rate
5,Xiaomi Redmi Note 9 [4 GB/ 64 GB] - Garansi RESMI - Midnight Grey,"Pilih Warna Sesuai di varian warna

MOHON DI BACA DENGAN BAIK
MEMBELI = SETUJU

Garansi Resmi TAM / Garansi Resmi Xiaomi Indonesia (Sama Aja)

Order dengan kurir Gojek / Grab instant maksimal jam 3 sore buat di kirim hari yang sama
Order dengan kurir JNE dan SICEPAT maksimal jam 4 sore buat di kirim hari yang sama

NOTE: *TIDAK ADA GARANSI TOKO / KOMPLAIN KERUSAKAN HP, HP 100% BARU DAN TERSEGEL, KALAU ADA MASALAH LANGSUNG DI BAWA KE XIAOMI SERVICE CENTER*

*orderan dengan GRAB / GOJEK paket akan di bubble wrap hanya 1 lapis
*orderan dengan JNE dan Si Cepat akan di bubble wrap 2 lapis

jika ingin menambahkan bubble dalam pengiriman silahkan di tambah di link berikut:
https://www.tokopedia.com/biolisignature/bubble-wrap-tambahan-untuk-packing-buat-pembeli-di-bioli-signature",https://ecs7.tokopedia.net/img/cache/700/product-1/2020/7/10/55795496/55795496_813de904-c9c3-477c-836e-e5b0da3a329d_600_600.webp,Rp2.199.000,5
6,Samsung Galaxy M31 RAM 6GB/ROM 128GB GARANSI RESMI SEIN - Hitam,"Garansi Resmi SEIN 1tahun
Silahkan di order boss ku 😉",https://ecs7.tokopedia.net/img/cache/700/product-1/2020/3/25/6322231/6322231_6706ca49-2030-49a5-b719-24eb61a519a7_684_684.jpg.webp,Rp3.339.000,5
7,XiaoMi Redmi 9 [4GB + 64GB/Garansi offical] - Ocean Green,"8MP Lensa ultra wide-angle
13MP lensa wide-angle
2MP Sensor Depth
5MP lensa makro


PERLUAS WAWASAN ANDA
Layar Full HD Dot Drop Display 6.53"""""""" dengan resolusi 2340x1080 layar depan dilengkapi corning Gorila Glass 3 memastikan pengalaman visual yang mendalam dan memberikan pandangan yang jelas tentang dunia di sekitar Anda.


LEBIH BANYAK KEUNGGULAN YANG DAPAT ANDA NIKMATI
Kinerja yang kuat & stabil dengan prosesor Helio G80, CPU Octa-Core Up To 2.0 GHz multitasking yang lancar dan pengalaman audiovisual dan game yang brilian. Peningkatan kinerja 107% dibandingkan dengan generasi sebelumnya.


PENGISIAN DAYA CEPAT, BATERAI BESAR, TIDAK PERNAH TAKUT KEHABISAN DAYA
Dengan kapasitas baterai 5020mAh seperti powerbank dan teknologi fast charging 18W, Anda dapat menghabiskan waktu untuk menonton film, bermain game, atau menelepon, memberikan daya tahan yang Anda butuhkan.


TIGA PILIHAN WARNA
Pilih Sesuai Gayamu
Carbon Grey, Ocean Green, Sunset Purple
---
Fitur detil yang membuat pengguna lebih nyaman:
2+1 SIM Slot
OS : Android 10 / MIUI 11
Bluetooth 5.0
Mikrofon dengan peredam suara bising
3.5 mm Headphone jack
IR remote untuk kontrol peralatan rumah anda
Konektor USB type-C yang dapat dibalik""""


Spesifikasi
RAM : 3GB / 4GB
Kapasitas Penyimpanan : 32GB / 64GB
Warna : Carbon Grey, Ocean Green, Sunset Purple

Tampilan Layar
6.53"""" FHD + Dot Drop Display
Layar Depan Gorilla Glass 3
2340x1080, 1500:1 Color Contrast Ratio

Performa
Chipset: Mediatek Helio G80
CPU : Octa-core CPU, up to 2.0 GHz
LPDDR4X RAM, eMMC 5.1 storage

Kamera
Kamera Belakang : 8MP Lensa ultra wide-angle 13MP lensa wide-angle 2MP Sensor Depth 5MP lensa makro
8MP selfie camera

Baterai
Battery : 5,020mAh (typ) mendukung pengisian cepat 18W

Konektivitas
USB : Type-C
SIM : 2+1 SIM Slot
OS System: Android 10, MIUI 11
Jaringan : GSM / WCDMA / LTE Dual 4G Standby",https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2020/11/14/fde4c9ba-df77-429b-9869-51423a693b25.png.webp,Rp1.949.000,4.9
8,"SAMSUNG A01 2/16 2GB 16GB GARANSI RESMI SEIN BY TAM - Hitam, Tanpa Temper","Garansi resmi sein by tam

Untuk yg mau dengan jelly case bs klik di birufreecase

https://tokopedia.link/Z4SouBHP76

#Semua produk yang dibeli wajib di review ya guna meningkatkan kualitas pelayanan kami terima kasih

#Kita menyediakan paket unit dengan temperglas lho kk..jadi kalau kk sekalian mau beli unit dengan temperglas kk bisa pilih divarian waktu klik beli

-blacktemper(unit warna black+temperglas bening tidak full layar karena unit hpnya sudah mengunakan layar 2.5D)

-blacktemperfull(unit warna black+temperglasfull neh tempeglas full menutupi semua layar dihandphone kk pinggirannya berwarna menyamakan warna layar nama temperglasnya 5D kk,jadi seperti tidak pake temperglas bener2 bagus

#Untuk kk yg mau kita pasangin temperglasnya wajib menulis dikolom keterangan ya bukan reques lewat diskusi atau inbox(bagi yg tidak dipasangkan temperglasnya apabila rusak dlm pengiriman maka tidak bisa return


SIM Dual SIM (Nano-SIM, dual stand-by)
Size 5.7 inches, 77.9 cm2 (~75.1% screen-to-body ratio)
PLATFORM OS Android 10.0; One UI 2
Chipset Qualcomm SDM439 Snapdragon 439 (12 nm)
CPU Octa-core (4x1.95 GHz Cortex-A53 & 4x1.45 GHz Cortex A53)
GPU Adreno 505
Internal 16GB 2GB RAM
eMMC 5.1
MAIN CAMERA Dual 13 MP,
2 MP,
SELFIE CAMERA Single 5 MP,
BATTERY Non-removable Li-Ion 3000 mAh battery",https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2020/10/27/1f1acd28-f6fe-4947-ab6d-831f9f28eb17.jpg.webp,Rp1.180.000,4.9
9,Xiaomi Redmi Note 9 Pro 6/64 GB Garansi Resmi - Abu-abu,"Ready Stock Blue Green dan Grey*03 November 2020

Tambahan extra bubble dan kardus
https://www.tokopedia.com/gudang-hp/kardus-bubble-extra-packing

SIM Dual SIM (Nano-SIM, dual stand-by)
Size 6.67 inches, 107.4 cm2 (~84.5% screen-to-body ratio)
PLATFORM OS Android 10, MIUI 11
Chipset Qualcomm SM7125 Snapdragon 720G (8 nm)
CPU Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver)
GPU Adreno 618
Internal 64GB 6GB RAM
UFS 2.1
MAIN CAMERA Quad 64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm
5 MP, f/2.4, (macro), AF
2 MP, f/2.4, (depth)
SELFIE CAMERA Single 16 MP, f/2.5, (wide), 1/3.1"" 1.0µm
BATTERY Non-removable Li-Po 5020 mAh battery",https://ecs7.tokopedia.net/img/cache/700/product-1/2020/6/14/2608727/2608727_29c024af-e8fb-4e39-aec8-fb6e72666b09_800_800.webp,Rp3.188.000,4.9
